Country,Code,Voice and Accountability,Political Stability and Absence of Violence/Terrorism,Government Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption
Martinique,MTQ,NA,0.7850212454795837,1.0890549421310425,1.228176474571228,0.600577175617218,1.2343919277191162
Mauritius,MUS,0.8081410527229309,0.8220398426055908,0.8711398839950562,0.9965204000473022,0.7635766267776489,0.317111998796463
Malawi,MWI,-0.09486646950244904,-0.26725292205810547,-0.7494366765022278,-0.701195478439331,-0.33112335205078125,-0.7811526656150818
Malaysia,MYS,-0.04342946037650108,0.11027669906616211,0.9986856579780579,0.673140823841095,0.5909451842308044,0.24752280116081238
Namibia,NAM,0.5421897768974304,0.5339198112487793,0.09664949029684067,-0.1089082583785057,0.3099801242351532,0.372481107711792
Niger,NER,-0.5653688907623291,-1.4030383825302124,-0.8010616898536682,-0.6687044501304626,-0.5329312086105347,-0.5541662573814392
Nigeria,NGA,-0.4129960238933563,-1.934673547744751,-1.0886335372924805,-0.8609851598739624,-0.897982120513916,-1.0949479341506958
Nicaragua,NIC,-1.0770896673202515,-1.034827709197998,-0.7708743810653687,-0.6890581250190735,-1.175689935684204,-1.121843695640564
Niue,NIU,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1.564838171005249,0.8572519421577454,1.7980079650878906,1.8610787391662598,1.808467149734497,1.9997575283050537
Norway,NOR,1.6869549751281738,1.1861281394958496,1.8622915744781494,1.804054617881775,1.9849152565002441,2.0734682083129883
Nepal,NPL,-0.13064293563365936,-0.46563026309013367,-1.045199990272522,-0.7013751268386841,-0.535534143447876,-0.6740938425064087
Nauru,NRU,0.6284044981002808,0.8625854253768921,-0.12948043644428253,-0.03319363296031952,-0.7636907696723938,-0.44930270314216614
New Zealand,NZL,1.5690345764160156,1.5076649188995361,1.6709036827087402,1.880906581878662,1.8847389221191406,2.1700706481933594
Oman,OMN,-1.1362813711166382,0.5934847593307495,0.259309321641922,0.29245713353157043,0.5544039011001587,0.45212891697883606
