genres,rated,title,countries,year,type,languages,imdb_rating,rt_rating,decade
Comedy,NA,Chapayev,Soviet Union,1934,movie,Russian,7.3,3.7,1930
Comedy,PASSED,It's a Gift,USA,1934,movie,English,7.5,3.9,1930
Comedy,APPROVED,The Devil Is a Woman,USA,1935,movie,English,7.2,3.7,1940
Adventure,NOT RATED,The Lives of a Bengal Lancer,USA,1935,movie,English,7.4,3.7,1940
Drama,G,Naughty Marietta,USA,1935,movie,English,7,4.2,1940
Drama,APPROVED,Lloyd's of London,USA,1936,movie,English,7,3.6,1940
Biography,NA,Rembrandt,UK,1936,movie,English,7.1,3.5,1940
Comedy,NA,The Story of a Cheat,France,1936,movie,French,7.8,4,1940
Family,APPROVED,The Adventures of Tom Sawyer,USA,1938,movie,English,7.2,3.9,1940
Drama,APPROVED,Jezebel,USA,1938,movie,English,7.6,3.8,1940
Comedy,PASSED,Love Finds Andy Hardy,USA,1938,movie,English,6.8,3.6,1940
Mystery,NOT RATED,Rebecca,USA,1940,movie,English,8.2,4.1,1940
Comedy,G,The Man Who Came to Dinner,USA,1942,movie,English,7.7,3.9,1940
Action,APPROVED,Jungle Book,USA,1942,movie,English,6.8,3.5,1940
Crime,TV-14,Ossessione,Italy,1943,movie,Italian,7.8,3.9,1940
Thriller,PG,Saboteur,USA,1942,movie,English,7.2,3.6,1940
War,APPROVED,Bataan,USA,1943,movie,English,7,3.2,1940
Documentary,NA,The Battle of Russia,USA,1943,movie,English,7.5,3.5,1940
Drama,PASSED,The Best Years of Our Lives,USA,1946,movie,English,8.2,4.2,1950
Crime,NA,Domingo de carnaval,Spain,1945,movie,Spanish,6.8,0,1940
Crime,NOT RATED,Mildred Pierce,USA,1945,movie,English,8,4.1,1940
Drama,NOT RATED,The Picture of Dorian Gray,USA,1945,movie,English,7.6,3.6,1940
Comedy,NOT RATED,The Harvey Girls,USA,1946,movie,English,7.1,3.7,1950
Crime,NOT RATED,The Killers,USA,1946,movie,English,7.9,4,1950
